iter	MultiClass
0	2.741754135
1	2.537069185
2	2.394555465
3	2.288260769
4	2.20189694
5	2.135502521
6	2.078924002
7	2.030933298
8	1.968396178
9	1.921475824
10	1.873983322
11	1.840015369
12	1.807761666
13	1.776938477
14	1.752758667
15	1.73123615
16	1.709506498
17	1.691204457
18	1.673414985
19	1.659656573
20	1.646532925
21	1.635980844
22	1.623523662
23	1.611588294
24	1.602408139
25	1.59255774
26	1.583568865
27	1.577924512
28	1.572219477
29	1.566030246
30	1.559438414
31	1.553606836
32	1.547566933
33	1.542550029
34	1.537864977
35	1.531943419
36	1.527317169
37	1.524257576
38	1.519604011
39	1.516038458
40	1.513632196
41	1.510254807
42	1.507279643
43	1.503415408
44	1.500668899
45	1.49682988
46	1.494823804
47	1.491933803
48	1.489241809
49	1.487051577
50	1.486261883
51	1.484581112
52	1.482491017
53	1.481507276
54	1.480511813
55	1.4784163
56	1.477404975
57	1.475696772
58	1.473874534
59	1.472313382
60	1.470879598
61	1.468534404
62	1.467370568
63	1.466014692
64	1.465123484
65	1.463258594
66	1.461742316
67	1.459141587
68	1.458068941
69	1.456491266
70	1.454485651
71	1.453069532
72	1.45170716
73	1.450263237
74	1.448911804
75	1.448214753
76	1.447211084
77	1.445518444
78	1.445507585
79	1.444266824
80	1.443306429
81	1.441856537
82	1.440628742
83	1.43993921
84	1.438911303
85	1.438547537
86	1.437149064
87	1.436441019
88	1.434960398
89	1.433681376
90	1.432820535
91	1.431222394
92	1.430858345
93	1.430187049
94	1.42912434
95	1.428655341
96	1.42829397
97	1.427697171
98	1.42736407
99	1.426309614
100	1.425713018
101	1.424131576
102	1.422855884
103	1.422219914
104	1.421606259
105	1.421083621
106	1.420583758
107	1.420028114
108	1.418571122
109	1.417722247
110	1.416442748
111	1.41590192
112	1.41541539
113	1.415030788
114	1.413669362
115	1.412534027
116	1.411462903
117	1.410709105
118	1.409484747
119	1.408876388
120	1.408325068
121	1.407641576
122	1.406928814
123	1.406513328
124	1.405818832
125	1.405307251
126	1.404524618
127	1.403882966
128	1.402982622
129	1.402398653
130	1.401868636
131	1.400494689
132	1.399489304
133	1.398670802
134	1.397939082
135	1.397443581
136	1.397119196
137	1.395853215
138	1.394861756
139	1.394264738
140	1.393551505
141	1.393077371
142	1.392591678
143	1.391494495
144	1.39107732
145	1.390663677
146	1.390112401
147	1.389157405
148	1.388756508
149	1.388294688
150	1.38776845
151	1.387001166
152	1.386599335
153	1.385862333
154	1.385513151
155	1.384595973
156	1.384248965
157	1.383611765
158	1.382872333
159	1.381825633
160	1.381144679
161	1.380524133
162	1.37969207
163	1.379404604
164	1.378671605
165	1.378451615
166	1.377951174
167	1.377590639
168	1.377115
169	1.37644491
170	1.3758081
171	1.374879517
172	1.374351156
173	1.374104044
174	1.373881855
175	1.373486821
176	1.373035705
177	1.37274424
178	1.372249266
179	1.371970846
180	1.37173433
181	1.37121713
182	1.37080607
183	1.369920885
184	1.36962385
185	1.368992005
186	1.368408615
187	1.368084133
188	1.367186712
189	1.366300955
190	1.366128726
191	1.36531226
192	1.36490464
193	1.364641796
194	1.364113482
195	1.363695001
196	1.363074224
197	1.362427593
198	1.362042813
199	1.361686644
200	1.361569223
201	1.361021671
202	1.360492857
203	1.359753171
204	1.359452758
205	1.358650983
206	1.357796814
207	1.357367132
208	1.356793433
209	1.356208119
210	1.355830823
211	1.355554305
212	1.355011335
213	1.353969999
214	1.3531895
215	1.352963143
