iter	Passed	Remaining
0	701	700905
1	1470	733684
2	2291	761701
3	3066	763462
4	3843	764791
5	4601	762375
6	5351	759100
7	6156	763351
8	6944	764621
9	7675	759910
10	8338	749683
11	9002	741183
12	9650	732717
13	10283	724247
14	10959	719664
15	11610	714059
16	12250	708395
17	12894	703478
18	13588	701572
19	14377	704504
20	15051	701699
21	15715	698642
22	16347	694409
23	16987	690843
24	17697	690197
25	18421	690091
26	19204	692071
27	20134	698952
28	20908	700066
29	21745	703092
30	22428	701068
31	23216	702303
32	24031	704203
33	24905	707621
34	25680	708044
35	26335	705202
36	27231	708757
37	28164	712997
38	29070	716327
39	29932	718371
40	30847	721535
41	31830	726032
42	32796	729905
43	33533	728584
44	34322	728395
45	35195	729929
46	36153	733070
47	36920	732263
48	37808	733798
49	38626	733894
50	39670	738185
51	40703	742063
52	41403	739792
53	42267	740461
54	43420	746049
55	44364	747863
56	45405	751175
57	46258	751301
58	47262	753802
59	48211	755315
60	49139	756427
61	49902	754978
62	50929	757479
63	51931	759497
64	52914	761155
65	53844	761985
66	54819	763376
67	55812	764954
68	56790	766258
69	57884	769035
70	58767	768944
71	59854	771456
72	60623	769837
73	61686	771913
74	62687	773146
75	63690	774345
76	64672	775227
77	65605	775487
78	65994	769378
79	66930	769703
80	67872	770063
81	68883	771158
82	70127	774781
83	71293	777438
84	72619	781723
85	73876	785149
86	74823	785219
87	76054	788203
88	77005	788227
89	77981	788482
90	79045	789590
91	80075	790308
92	81125	791191
93	82491	795080
94	83419	794680
95	84580	796462
96	85962	800245
97	86931	800125
98	88011	800996
99	88975	800779
100	89975	800874
101	90865	799973
102	91693	798533
103	92677	798452
104	93653	798283
105	94758	799189
106	95654	798314
107	96581	797688
108	97483	796863
109	98477	796770
110	99390	796018
111	100395	795996
112	101374	795743
113	102320	795225
114	103136	793702
115	103950	792171
116	104790	790852
117	105789	790734
118	106617	789324
119	107662	789526
120	108765	790121
121	109793	790151
122	110819	790151
123	111816	789932
124	112691	788843
125	113640	788269
126	114514	787176
127	115481	786717
128	116160	784307
129	117049	783331
130	117978	782618
131	118717	780659
132	119448	778660
133	120295	777430
134	121223	776725
135	122192	776283
136	123175	775917
137	123853	773633
138	124634	772018
139	125598	771535
140	126428	770229
141	127550	770694
142	128721	771429
143	129518	769913
144	130471	769332
145	131483	769087
146	132504	768884
147	133224	766942
148	134069	765725
149	135035	765198
150	135982	764564
151	136794	763167
152	137754	762598
