id,category
55581,Bottomwear
8832,Sandal
29112,Bags
30961,Shoes
49668,Wallets
11141,Jewellery
3257,Topwear
56026,Bottomwear
58275,Topwear
56937,Topwear
53837,Topwear
7235,Bags
22935,Belts
29003,Bottomwear
54110,Jewellery
48870,Ties
9335,Topwear
54882,Topwear
37093,Sandal
8931,Shoes
23535,Bags
7283,Bottomwear
17142,Topwear
20858,Topwear
40737,Fragrance
32763,Shoes
26811,Shoes
57536,Topwear
14892,Topwear
19830,Sandal
22660,Shoes
4371,Watches
37594,Topwear
9947,Dress
51705,Watches
6956,Socks
50482,Topwear
44376,Shoes
27829,Topwear
46351,Jewellery
42631,Accessories
15552,Topwear
40993,Topwear
29523,Topwear
18878,Innerwear
16105,Sandal
19579,Bags
5223,Bottomwear
34162,Shoes
11953,Topwear
27348,Shoes
5944,Topwear
52463,Topwear
26915,Topwear
33822,Topwear
41773,Watches
46008,Sandal
54137,Topwear
27486,Watches
4270,Topwear
41384,Topwear
58956,Nails
12844,Topwear
26718,Bottomwear
20284,Makeup
26719,Bottomwear
19982,Shoes
58669,Bags
49609,Topwear
55832,Topwear
36677,Saree
11600,Shoes
17785,Topwear
45036,Dress
19187,Shoes
15816,Shoes
49714,Watches
5474,Shoes
39559,Flip Flops
19557,Innerwear
7776,Shoes
28371,Shoes
10467,Eyewear
58735,Saree
34140,Topwear
28043,Bottomwear
3636,Bottomwear
32846,Bags
22250,Topwear
38949,Innerwear
13255,Topwear
5109,Watches
19618,Bags
33981,Topwear
39336,Socks
41270,Innerwear
39644,Ties
57281,Shoes
44749,Wallets
30941,Shoes
27295,Bags
53492,Bags
11124,Topwear
35386,Shoes
1546,Topwear
47239,Belts
41909,Topwear
39157,Bags
58086,Watches
7118,Bags
34001,Topwear
43346,Bags
55254,Shoes
6747,Jewellery
39319,Watches
40187,Innerwear
4516,Topwear
6579,Watches
19113,Belts
44855,Topwear
41028,Shoes
19262,Shoes
49534,Bags
57407,Flip Flops
19271,Watches
3058,Topwear
45116,Topwear
59021,Shoes
24641,Topwear
36384,Jewellery
43297,Jewellery
32168,Topwear
42879,Topwear
38160,Shoes
46978,Topwear
27004,Loungewear and Nightwear
10336,Shoes
14523,Topwear
55394,Bags
50571,Shoes
49161,Topwear
11638,Topwear
56976,Shoes
11894,Topwear
46667,Topwear
42142,Topwear
49746,Watches
5498,Dress
44179,Bottomwear
54649,Innerwear
28591,Topwear
16288,Nails
13824,Topwear
25277,Topwear
26870,Fragrance
41469,Topwear
3875,Innerwear
50731,Topwear
5201,Shoes
16918,Watches
6427,Topwear
59370,Bottomwear
28622,Bags
11917,Bags
58131,Topwear
47252,Watches
12950,Innerwear
42945,Bottomwear
24327,Shoes
18933,Bottomwear
20005,Topwear
24066,Topwear
29616,Topwear
50600,Topwear
4636,Shoes
21340,Shoes
51001,Bottomwear
57442,Watches
3532,Watches
5473,Topwear
6166,Innerwear
13354,Topwear
36333,Shoes
39734,Innerwear
27375,Bags
14737,Topwear
40145,Topwear
42930,Innerwear
46344,Ties
53656,Topwear
19727,Jewellery
28068,Topwear
16552,Topwear
19105,Topwear
31582,Bottomwear
42129,Topwear
32305,Belts
37784,Topwear
19950,Shoes
22194,Topwear
44207,Topwear
47251,Bags
22171,Topwear
27545,Socks
21341,Topwear
33423,Fragrance
8775,Jewellery
8574,Topwear
9627,Bags
16414,Topwear
27624,Bags
18525,Shoes
27108,Fragrance
44002,Shoes
41395,Fragrance
36768,Scarves
19086,Shoes
3560,Topwear
27828,Bags
47889,Shoes
18170,Watches
7855,Topwear
18024,Topwear
15951,Watches
48311,Shoes
4946,Topwear
56715,Topwear
41522,Topwear
11235,Shoes
3216,Topwear
37580,Shoes
13736,Topwear
53453,Shoes
45910,Bags
50820,Watches
33303,Topwear
52513,Fragrance
34146,Shoes
58680,Bags
55025,Fragrance
15221,Jewellery
51797,Flip Flops
20794,Shoes
15505,Dress
9255,Topwear
32558,Jewellery
10075,Saree
27477,Jewellery
33771,Topwear
40396,Shoes
14504,Topwear
33186,Watches
32315,Shoes
6197,Bags
31721,Topwear
45565,Nails
56166,Topwear
12874,Topwear
31627,Eyewear
58886,Bottomwear
29940,Topwear
31992,Topwear
26668,Watches
15884,Bags
20250,Shoes
14452,Shoes
21960,Belts
27107,Topwear
7701,Belts
20188,Topwear
20684,Topwear
20578,Watches
43202,Topwear
5960,Shoes
3391,Topwear
30827,Topwear
43870,Shoes
20046,Topwear
20025,Wallets
18007,Topwear
47474,Bags
34736,Topwear
6401,Topwear
3993,Topwear
23940,Topwear
32640,Topwear
46406,Topwear
30780,Topwear
38322,Shoes
4627,Topwear
36265,Topwear
48448,Wallets
47002,Topwear
15646,Shoes
24871,Shoes
1885,Topwear
13326,Jewellery
36211,Topwear
9100,Shoes
28631,Topwear
5784,Topwear
46525,Innerwear
12028,Shoes
6027,Shoes
2712,Shoes
29250,Fragrance
5433,Shoes
40143,Shoes
7559,Topwear
55141,Watches
6622,Topwear
48972,Topwear
55428,Watches
19017,Sandal
34988,Watches
42124,Jewellery
7275,Topwear
16557,Topwear
38850,Shoes
48235,Watches
12603,Watches
47161,Shoes
26616,Topwear
44441,Topwear
25824,Bags
11429,Topwear
9218,Shoes
21646,Topwear
14121,Topwear
8343,Loungewear and Nightwear
3845,Innerwear
44144,Belts
7658,Bottomwear
18924,Shoes
51805,Belts
5219,Topwear
8938,Topwear
9541,Shoes
38400,Bags
46090,Topwear
2396,Shoes
33992,Watches
26336,Shoes
7733,Topwear
20420,Topwear
8529,Saree
59082,Shoes
32458,Innerwear
38623,Watches
57559,Bags
46569,Eyewear
26418,Socks
20929,Shoes
4755,Innerwear
38788,Topwear
33114,Bags
27779,Topwear
16343,Fragrance
34206,Belts
53137,Topwear
19041,Shoes
13850,Fragrance
33497,Nails
33561,Saree
35916,Shoes
22558,Watches
57459,Shoes
21719,Topwear
35231,Bottomwear
34157,Bottomwear
20590,Innerwear
4398,Topwear
37254,Bags
53639,Topwear
4970,Topwear
52819,Watches
3853,Shoes
15504,Topwear
56652,Bags
22882,Topwear
51206,Topwear
47535,Belts
29124,Innerwear
38128,Watches
45049,Topwear
46464,Topwear
27782,Topwear
6293,Topwear
29087,Topwear
16361,Topwear
15189,Bags
15287,Watches
27143,Shoes
28825,Shoes
17286,Watches
29004,Makeup
32035,Topwear
17004,Topwear
56055,Topwear
25196,Saree
36670,Topwear
20369,Topwear
41004,Topwear
45512,Topwear
48319,Topwear
40996,Shoes
42396,Eyewear
4083,Jewellery
14071,Shoes
2548,Fragrance
46426,Topwear
36053,Topwear
49809,Topwear
41692,Eyewear
8512,Topwear
19759,Watches
12134,Shoes
20863,Watches
9942,Bottomwear
53668,Topwear
6504,Topwear
28356,Topwear
13704,Lips
55967,Topwear
19048,Topwear
33738,Flip Flops
16153,Bottomwear
8341,Shoes
31602,Shoes
50876,Topwear
33138,Topwear
21982,Topwear
13508,Shoes
17003,Topwear
6985,Topwear
18932,Bags
51674,Loungewear and Nightwear
30681,Sandal
25146,Topwear
46826,Topwear
30761,Shoes
32204,Fragrance
13298,Innerwear
27138,Topwear
30053,Bags
45761,Watches
52480,Topwear
11502,Topwear
3996,Topwear
49839,Loungewear and Nightwear
59891,Topwear
43919,Topwear
42231,Shoes
34015,Wallets
50591,Scarves
53914,Topwear
28724,Shoes
43540,Bags
28038,Bags
2844,Bags
53371,Topwear
54582,Bottomwear
14808,Topwear
